Time;Temperature
00:00;20,62
00:05;20,62
00:10;20,62
00:15;20,62
00:20;20,62
00:25;20,69
00:30;20,62
00:35;20,5
00:40;20,56
00:45;20,62
00:50;20,56
00:55;20,62
01:00;20,69
01:05;20,62
01:10;20,69
01:15;20,69
01:20;20,69
01:25;20,75
01:30;20,75
01:35;20,75
01:40;20,75
01:45;20,75
01:50;20,75
01:55;20,75
02:00;20,69
02:05;20,75
02:10;20,75
02:15;20,75
02:20;20,75
02:25;20,69
02:30;20,75
02:35;20,88
02:40;20,81
02:45;20,75
02:50;20,75
02:55;20,69
03:00;20,69
03:05;20,75
03:10;20,81
03:15;20,69
03:20;20,69
03:25;20,69
03:30;20,75
03:35;20,69
03:40;20,69
03:45;20,69
03:50;20,62
03:55;20,69
04:00;20,75
04:05;20,75
04:10;20,81
04:15;20,75
04:20;20,75
04:25;20,75
04:30;20,75
04:35;20,75
04:40;20,75
04:45;20,75
04:50;20,69
04:55;20,69
05:00;20,62
05:05;20,62
05:10;20,62
05:15;20,62
05:20;20,75
05:25;20,69
05:30;20,62
05:35;20,69
05:40;20,62
05:45;20,69
05:50;20,62
05:55;20,62
06:00;20,69
06:05;20,62
06:10;20,75
06:15;20,69
06:20;20,62
06:25;20,62
06:30;20,75
06:35;20,69
06:40;20,75
06:45;20,69
06:50;20,69
06:55;20,81
07:00;20,75
07:05;20,75
07:10;20,69
07:15;20,81
07:20;20,69
07:25;20,69
07:30;20,56
07:35;20,56
07:40;20,5
07:45;20,56
07:50;20,56
07:55;20,62
08:00;20,62
08:05;20,56
08:10;20,62
08:15;20,62
08:20;20,56
08:25;20,62
08:30;20,62
08:35;20,69
08:40;20,69
08:45;20,69
08:50;20,62
08:55;20,69
09:00;20,69
09:05;20,75
09:10;20,75
09:15;20,75
09:20;20,75
09:25;20,75
09:30;20,94
09:35;20,94
09:40;21,06
09:45;21,19
09:50;21,12
09:55;21,25
10:00;21,25
10:05;21,31
10:10;21,31
10:15;21,31
10:20;21,31
10:25;21,31
10:30;21,31
10:35;21,38
10:40;21,44
10:45;21,44
10:50;21,38
10:55;21,38
11:00;21,44
11:05;21,44
11:10;21,38
11:15;21,31
11:20;21,25
11:25;21,19
11:30;21,19
11:35;21,06
11:40;21,12
11:45;21,0
11:50;21,0
11:55;21,12
12:00;21,12
12:05;21,06
12:10;21,12
12:15;21,0
12:20;21,06
12:25;21,06
12:30;20,94
12:35;21,06
12:40;21,19
12:45;21,25
12:50;21,31
12:55;21,44
13:00;21,5
13:05;21,31
13:10;20,94
13:15;21,25
13:20;21,56
13:25;21,62
13:30;21,69
13:35;21,69
13:40;21,44
13:45;21,31
13:50;21,38
13:55;21,25
14:00;21,25
14:05;21,0
14:10;21,19
14:15;21,44
14:20;21,38
14:25;21,31
14:30;21,38
14:35;21,31
14:40;21,31
14:45;21,38
14:50;21,44
14:55;21,5
15:00;21,44
15:05;21,38
15:10;21,5
15:15;21,38
15:20;21,38
15:25;21,44
15:30;21,44
15:35;21,56
15:40;21,44
15:45;21,38
15:50;21,31
15:55;21,06
16:00;21,31
16:05;21,19
16:10;21,31
16:15;21,31
16:20;21,31
16:25;21,31
16:30;21,25
16:35;21,25
16:40;21,19
16:45;21,19
16:50;21,19
16:55;21,19
17:00;21,31
17:05;21,38
17:10;21,44
17:15;21,44
17:20;21,38
17:25;21,25
17:30;21,25
17:35;21,31
17:40;21,44
17:45;21,38
17:50;21,38
17:55;21,38
18:00;21,38
18:05;21,31
18:10;21,44
18:15;21,38
18:20;21,5
18:25;21,5
18:30;21,38
18:35;21,38
18:40;21,5
18:45;21,38
18:50;21,44
18:55;21,44
19:00;21,38
19:05;21,38
19:10;21,31
19:15;21,38
19:20;21,25
19:25;21,25
19:30;21,38
19:35;21,38
19:40;21,44
19:45;21,56
19:50;21,44
19:55;21,44
20:00;21,44
20:05;21,56
20:10;21,38
20:15;21,44
20:20;21,44
20:25;21,38
20:30;21,5
20:35;21,56
20:40;21,56
20:45;21,56
20:50;21,5
20:55;21,5
21:00;21,5
21:05;21,44
21:10;21,38
21:15;21,38
21:20;21,31
21:25;21,25
21:30;21,31
21:35;21,25
21:40;21,38
21:45;21,31
21:50;21,31
21:55;21,25
22:00;21,25
22:05;21,31
22:10;21,31
22:15;21,06
22:20;21,0
22:25;20,94
22:30;20,94
22:35;20,94
22:40;20,88
22:45;20,94
22:50;20,81
22:55;21,0
23:00;20,94
23:05;20,75
23:10;20,75
23:15;20,75
23:20;20,75
23:25;20,69
23:30;20,69
23:35;20,69
23:40;20,75
23:45;20,69
23:50;20,62
23:55;20,81
